%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
108	285.06971	298.4863984	300.1644227	309.1117053	317.5105693	325.4959988	338.4461894	349.3073459
109	284.7110896	297.9264516	299.5771064	308.369827	316.6293199	324.5510049	337.4622141	348.295174
110	284.3778993	297.398638	299.022856	307.6663594	315.7913399	323.6514122	336.5249425	347.3307833
111	284.0688026	296.9012655	298.4999291	306.9992652	314.9943156	322.7947853	335.6318735	346.4116217
112	283.7825285	296.4327307	298.0066748	306.3666188	314.2360647	321.9788293	334.7806502	345.5352842
113	283.5178686	295.9915137	297.5415293	305.7665999	313.5145287	321.2013808	333.9690516	344.6995036
114	283.2736743	295.5761741	297.1030109	305.1974876	312.8277646	320.4603998	333.1949831	343.9021417
115	283.0488539	295.1853467	296.6897159	304.6576545	312.1739385	319.7539621	332.4564694	343.1411819
116	282.8423696	294.8177375	296.300314	304.1455615	311.5513186	319.080252	331.7516469	342.414721
117	282.6532356	294.4721198	295.9335448	303.6597526	310.9582694	318.4375558	331.0787566	341.7209627
118	282.4805148	294.1473308	295.5882136	303.1988503	310.3932457	317.8242556	330.4361379	341.0582109
119	282.3233171	293.8422679	295.2631884	302.7615511	309.8547873	317.2388232	329.8222228	340.4248637
120	282.1807967	293.555886	294.9573958	302.3466212	309.3415142	316.6798153	329.2355298	339.8194077
121	282.0521501	293.287194	294.6698186	301.9528926	308.8521214	316.1458677	328.6746592	339.2404124
122	281.936614	293.035252	294.3994924	301.5792596	308.3853749	315.6356909	328.1382878	338.686526
123	281.8334632	292.7991687	294.1455027	301.224675	307.9401072	315.148066	327.6251649	338.1564698
124	281.742009	292.578099	293.9069825	300.888147	307.5152141	314.6818398	327.1341072	337.6490346
125	281.6615971	292.3712409	293.6831094	300.5687359	307.1096501	314.2359216	326.6639957	337.1630765
126	281.591606	292.1778339	293.4731035	300.2655516	306.7224257	313.8092794	326.2137713	336.6975126
127	281.5314453	291.9971566	293.2762253	299.9777504	306.3526042	313.4009362	325.7824317	336.2513181
128	281.4805544	291.8285244	293.0917728	299.7045329	305.9992982	313.009967	325.3690279	335.8235226
129	281.4384006	291.6712877	292.9190806	299.445141	305.6616673	312.6354961	324.9726611	335.413207
130	281.404478	291.5248302	292.7575168	299.1988561	305.3389151	312.2766937	324.5924803	335.0195007
131	281.3783063	291.388567	292.6064822	298.9649969	305.0302869	311.932774	324.2276787	334.6415786
132	281.359429	291.261943	292.4654081	298.7429169	304.7350675	311.6029919	323.8774922	334.278659
133	281.3474128	291.1444313	292.3337546	298.5320033	304.4525785	311.2866414	323.541196	333.9300005
134	281.3418459	291.0355318	292.2110095	298.3316743	304.182177	310.9830531	323.2181034	333.5949003
135	281.3423375	290.9347697	292.0966863	298.1413782	303.9232529	310.6915921	322.9075627	333.2726918
136	281.3485162	290.8416941	291.9903233	297.9605912	303.6752276	310.4116564	322.6089561	332.9627425
137	281.3600293	290.7558773	291.8914824	297.7888164	303.4375521	310.1426747	322.3216973	332.6644525
138	281.376542	290.6769128	291.7997473	297.625582	303.2097054	309.8841049	322.0452298	332.3772522
139	281.3977363	290.6044147	291.7147228	297.47044	302.991193	309.6354326	321.7790255	332.100601
140	281.42331	290.5380167	291.6360337	297.3229651	302.7815454	309.3961693	321.5225832	331.8339858
141	281.4529763	290.4773708	291.5633236	297.1827535	302.5803167	309.1658513	321.2754267	331.5769192
142	281.486463	290.4221465	291.496254	297.0494217	302.3870838	308.9440383	321.0371039	331.3289382
143	281.5235114	290.3720299	291.4345035	296.9226053	302.2014444	308.7303121	320.8071852	331.0896029
144	281.563876	290.3267228	291.3777668	296.8019583	302.0230167	308.5242752	320.5852628	330.8584956
145	281.6073236	290.2859422	291.3257537	296.6871519	301.8514378	308.3255501	320.3709486	330.6352191
146	281.6536329	290.249419	291.2781889	296.5778736	301.6863627	308.133778	320.1638743	330.419396
147	281.7025939	290.2168977	291.2348105	296.4738267	301.5274637	307.9486179	319.9636895	330.2106673
148	281.754007	290.1881355	291.1953698	296.374729	301.3744293	307.7697456	319.7700611	330.0086918
149	281.807683	290.162902	291.1596308	296.2803125	301.2269633	307.5968528	319.5826723	329.813145
150	281.8634422	290.140978	291.1273689	296.1903223	301.0847842	307.4296464	319.4012219	329.6237183
151	281.9211141	290.1221555	291.0983709	296.1045162	300.9476241	307.2678476	319.2254233	329.440118
152	281.980537	290.1062368	291.0724342	296.0226638	300.8152285	307.1111913	319.0550039	329.2620648
153	282.0415573	290.0930341	291.0493665	295.9445464	300.6873551	306.9594252	318.8897043	329.0892927
154	282.1040294	290.0823691	291.0289847	295.8699557	300.5637735	306.8123091	318.7292777	328.9215488
155	282.1678153	290.0740723	291.0111152	295.7986938	300.4442645	306.6696148	318.5734891	328.7585923
156	282.232784	290.0679827	290.995593	295.7305726	300.3286197	306.5311248	318.4221149	328.6001937
157	282.2988112	290.0639476	290.9822612	295.6654131	300.2166405	306.3966323	318.2749421	328.4461349
158	282.3657793	290.0618216	290.9709708	295.6030452	300.1081381	306.2659401	318.1317679	328.2962079
159	282.4335766	290.0614668	290.9615804	295.5433071	300.0029329	306.1388608	317.9923994	328.1502147
160	282.5020973	290.0627523	290.9539554	295.4860449	299.9008537	306.0152159	317.8566527	328.0079668
161	282.5712414	290.0655537	290.9479683	295.4311122	299.8017378	305.8948353	317.7243527	327.8692846
162	282.6409138	290.0697528	290.9434978	295.3783698	299.7054302	305.777557	317.5953324	327.7339969
163	282.7110247	290.0752376	290.9404286	295.3276855	299.6117832	305.6632269	317.4694331	327.6019406
164	282.781489	290.0819016	290.9386513	295.2789333	299.5206565	305.5516981	317.3465032	327.4729604
165	282.8522261	290.0896437	290.9380622	295.2319935	299.4319163	305.4428305	317.2263984	327.3469081
166	282.9231599	290.0983679	290.9385626	295.1867522	299.3454352	305.3364909	317.1089814	327.2236427
